qid,doc_id,model,relevance,doc_length,query_length,query_avg_token_len,query_unique_ratio,query_match_count,query_match_ratio,dominant_topic,dominant_prob,search_score
query_000001,부머(폴아웃: 뉴 베가스),BIM,1,13933,25,2.08,1.0,8,0.32,6,0.6175903677940369,29.171730974981752
query_000001,폴아웃,BIM,0,29835,25,2.08,1.0,8,0.32,4,0.44770002365112305,27.462323687981517
query_000001,넬리스 공군 기지,BIM,1,1311,25,2.08,1.0,6,0.24,6,0.9417846202850342,25.906939334692613
query_000001,저항군(DZC),BIM,0,35859,25,2.08,1.0,9,0.36,6,0.8974609971046448,25.194967838084228
query_000001,레인저 시타델,BIM,0,6789,25,2.08,1.0,7,0.28,5,0.5028496384620667,24.459970905476922
query_000001,독소전쟁,BIM,0,73568,25,2.08,1.0,6,0.24,6,0.9230448007583618,19.235228313983036
query_000001,문명 6/유닛,BIM,0,37074,25,2.08,1.0,6,0.24,6,0.891729474067688,19.199185819920793
query_000001,폴아웃 4/모드/환경,BIM,0,15659,25,2.08,1.0,5,0.2,5,0.5611369609832764,18.94988035711359
query_000001,갱글러 괴인,BIM,0,74327,25,2.08,1.0,7,0.28,4,0.6056159734725952,17.897166832653173
query_000001,아돌프 히틀러,BIM,0,71693,25,2.08,1.0,7,0.28,6,0.5677134394645691,17.824189665383766
query_000002,토마스 뮐러/선수 경력,BIM,0,67180,34,2.1470588235294117,0.9117647058823529,15,0.4411764705882353,7,0.9999342560768127,42.105331322967785
query_000002,업셋/목록,BIM,0,34572,34,2.1470588235294117,0.9117647058823529,14,0.4117647058823529,2,0.5188900828361511,40.36456607230569
query_000002,유리몸,BIM,0,62008,34,2.1470588235294117,0.9117647058823529,14,0.4117647058823529,2,0.5671852231025696,39.750199769598865
query_000002,호나우두,BIM,1,31667,34,2.1470588235294117,0.9117647058823529,14,0.4117647058823529,7,0.9496457576751709,39.750199769598865
query_000002,호나우두/국가대표 경력,BIM,1,7384,34,2.1470588235294117,0.9117647058823529,13,0.38235294117647056,7,0.9435874223709106,37.48374662584954
query_000002,FC 바이에른 뮌헨/관련 인물,BIM,0,15871,34,2.1470588235294117,0.9117647058823529,13,0.38235294117647056,7,0.999722957611084,37.48374662584954
query_000002,라이벌/실존/스포츠,BIM,0,19111,34,2.1470588235294117,0.9117647058823529,12,0.35294117647058826,7,0.5256584286689758,35.84827797337825
query_000002,호나우두/비판과 반박,BIM,1,6731,34,2.1470588235294117,0.9117647058823529,10,0.29411764705882354,7,0.9993407130241394,32.39191531682983
query_000002,아스날 9번의 저주,BIM,0,16712,34,2.1470588235294117,0.9117647058823529,12,0.35294117647058826,7,0.9997155070304871,32.35074371777641
query_000002,잔루이지 부폰,BIM,0,22062,34,2.1470588235294117,0.9117647058823529,12,0.35294117647058826,7,0.9997814297676086,32.243498187422816
query_000004,조공,BIM,0,57785,16,1.8125,0.9375,7,0.4375,6,0.677473783493042,27.108338956410726
query_000004,환단고기/고증적 비판,BIM,0,27439,16,1.8125,0.9375,8,0.5,4,0.5822247862815857,25.954427854040887
query_000004,시법(책),BIM,1,480,16,1.8125,0.9375,5,0.3125,3,0.8075352311134338,22.298633044452295
query_000004,정조(조선),BIM,0,43066,16,1.8125,0.9375,6,0.375,0,0.48234033584594727,22.100856022214355
query_000004,묘호,BIM,1,10112,16,1.8125,0.9375,5,0.3125,0,0.3343571126461029,22.093634478934753
query_000004,조선/왕사,BIM,1,22970,16,1.8125,0.9375,5,0.3125,0,0.5205510854721069,22.093634478934753
query_000004,사도세자,BIM,0,38167,16,1.8125,0.9375,5,0.3125,0,0.5059158205986023,20.797177863076286
query_000004,공양왕,BIM,0,13526,16,1.8125,0.9375,4,0.25,3,0.6766098141670227,20.397893887444575
query_000004,사마사,BIM,0,16054,16,1.8125,0.9375,4,0.25,3,0.9997464418411255,17.42308608233651
query_000004,사대주의,BIM,0,12887,16,1.8125,0.9375,5,0.3125,6,0.7092627286911011,17.102418718304115
